"Date","Price","Open","High","Low","Vol.","Change %"
"2022-02-22","138.59","137.69","138.67","137.47","19.53M","0.26%"
"2022-02-18","138.23","137.52","138.37","137.16","17.52M","1.05%"
"2022-02-17","136.79","136.45","137.57","135.90","24.51M","0.74%"
"2022-02-16","135.78","135.95","136.07","134.51","16.47M","0.59%"
"2022-02-15","134.98","135.60","135.84","134.94","18.20M","-1.14%"
"2022-02-14","136.53","137.13","137.74","135.97","23.16M","-1.24%"
"2022-02-11","138.25","136.87","138.51","135.36","43.21M","1.48%"
"2022-02-10","136.23","137.66","137.83","135.84","30.90M","-1.59%"
"2022-02-09","138.43","138.72","139.37","138.19","14.35M","0.19%"
"2022-02-08","138.17","138.21","138.58","137.82","16.27M","-0.67%"
"2022-02-07","139.10","138.91","139.31","138.55","12.96M","0.06%"
"2022-02-04","139.01","139.85","140.14","138.78","23.61M","-1.47%"
"2022-02-03","141.09","140.44","141.48","140.18","17.23M","-0.78%"
"2022-02-02","142.20","141.95","143.57","141.93","18.40M","0.34%"
"2022-02-01","141.72","142.28","142.36","141.05","20.81M","-0.47%"
"2022-01-31","142.39","142.18","142.95","141.96","14.00M","-0.52%"
"2022-01-28","143.13","142.09","143.46","141.85","12.83M","0.03%"
"2022-01-27","143.08","142.41","143.37","142.33","21.50M","1.84%"
"2022-01-26","140.50","142.26","142.57","140.49","23.66M","-1.21%"
"2022-01-25","142.22","143.11","143.71","141.80","15.60M","-0.16%"
"2022-01-24","142.45","144.30","144.37","142.43","25.01M","-0.82%"
"2022-01-21","143.63","143.40","144.10","142.67","28.92M","1.19%"
"2022-01-20","141.94","141.37","141.99","141.09","13.96M","0.62%"
"2022-01-19","141.07","140.53","141.71","140.31","17.93M","0.69%"
"2022-01-18","140.10","140.96","141.31","140.02","21.17M","-1.41%"
"2022-01-14","142.10","143.42","143.46","141.79","23.00M","-1.51%"
"2022-01-13","144.28","143.39","144.42","143.03","15.17M","0.89%"
"2022-01-12","143.01","143.90","144.01","142.99","14.44M","-0.38%"
"2022-01-11","143.56","142.88","143.63","142.70","24.39M","0.67%"
"2022-01-10","142.61","141.65","142.80","141.36","13.78M","0.25%"
"2022-01-07","142.26","143.13","143.24","141.56","18.76M","-0.72%"
"2022-01-06","143.29","142.59","143.44","142.29","19.00M","0.26%"
"2022-01-05","142.92","144.14","144.16","142.71","20.91M","-0.54%"
"2022-01-04","143.70","143.61","144.13","142.74","22.00M","-0.42%"
"2022-01-03","144.30","146.41","146.94","144.28","33.86M","-2.63%"
"2021-12-31","148.19","147.81","149.03","147.43","13.40M","0.20%"
"2021-12-30","147.90","147.25","147.97","146.45","10.36M","0.84%"
"2021-12-29","146.67","146.91","147.31","146.41","11.77M","-1.09%"
"2021-12-28","148.29","149.60","149.78","148.01","9.18M","-0.40%"
"2021-12-27","148.88","148.46","149.01","148.32","7.82M","0.24%"
"2021-12-23","148.52","149.59","149.60","148.03","11.64M","-0.87%"
"2021-12-22","149.82","149.73","149.86","149.02","12.25M","0.46%"
"2021-12-21","149.13","148.14","149.20","147.62","16.60M","-0.38%"
"2021-12-20","149.70","150.75","151.02","149.60","17.15M","-0.75%"
"2021-12-17","150.83","150.34","150.98","150.16","18.09M","1.13%"
"2021-12-16","149.14","148.75","149.88","148.73","18.68M","-0.07%"
"2021-12-15","149.25","149.61","150.79","149.13","25.38M","-0.96%"
"2021-12-14","150.70","150.37","150.93","149.31","14.02M","-0.24%"
